nUMIs	nGenes	cell_type
2555	820	T
2026	789	B
1466	604	B
3239	1148	B
1706	544	B
1324	724	B
796	435	B
2941	899	T
700	487	B
2623	955	B
1755	646	B
2212	819	T
949	549	B
1723	650	B
1706	813	B
610	429	B
3225	942	T
660	406	B
1162	552	B
1082	611	B
841	459	B
2839	896	B
1378	678	B
611	369	B
3060	1072	T
1752	685	B
2073	688	T
1486	747	T
3141	1091	T
2587	911	B
2805	885	T
632	362	B
1400	804	B
1506	768	B
2886	854	B
1809	875	B
2628	877	B
2289	853	B
844	511	B
2533	814	B
1804	568	B
3328	1018	B
908	514	B
575	306	B
3997	1351	B
3740	1113	B
2330	959	B
1104	572	T
2055	702	B
2561	966	B
949	462	B
4266	1504	T
587	237	B
2765	933	B
932	564	T
2154	646	B
2697	792	B
673	432	B
4970	1597	T
1128	582	B
5401	1726	B
1846	590	T
2126	742	B
643	414	B
2889	990	B
1279	731	B
2348	797	T
2114	691	B
3375	997	T
3207	1088	T
1734	700	B
1607	657	B
981	552	T
2455	764	B
7532	1884	T
2080	729	B
855	447	B
683	436	B
708	185	B
1668	570	B
1859	756	B
712	431	T
2150	632	B
524	335	B
4339	1485	T
925	608	T
498	323	B
1868	851	B
1622	576	B
866	502	B
1723	853	B
2364	891	B
3677	1356	T
3690	1313	B
2912	978	B
1776	808	B
2173	891	B
1802	560	B
1202	671	B
2323	849	B
611	353	B
518	305	B
2365	744	B
500	220	B
3370	1003	B
649	419	B
2109	751	B
1770	788	T
791	527	B
777	523	T
2506	751	B
549	336	B
763	457	B
3584	1000	T
5739	1662	T
676	429	B
1592	703	B
659	396	B
691	419	T
2134	786	B
556	394	B
815	498	T
2118	699	B
2055	829	T
1048	551	B
1927	843	B
2974	890	B
3241	1188	T
1066	675	B
3636	1276	T
2371	763	T
2537	983	B
2307	826	T
789	548	B
3544	999	B
5533	1649	B
2689	1060	B
506	353	B
1945	691	B
535	381	B
2537	883	B
2443	911	B
2320	719	B
1564	440	B
2903	1119	B
1198	538	T
1374	508	B
1813	856	T
2528	842	B
4079	1244	B
2148	634	B
1760	664	B
1811	870	T
928	559	B
1763	615	B
2175	850	T
907	431	T
2493	250	B
1001	503	B
1671	749	T
677	387	B
1896	813	T
3026	1117	B
3443	1251	B
664	392	B
2982	1028	B
1557	518	T
503	315	B
2966	750	B
906	558	B
564	338	B
2184	699	B
2423	907	B
514	309	B
776	485	B
5632	1470	T
527	309	B
2364	752	T
2523	818	B
773	485	B
673	367	B
2486	835	T
2240	882	T
1009	441	B
1730	678	B
2308	839	B
1999	773	B
938	486	B
2235	801	B
2135	906	B
1141	630	B
537	352	T
680	368	B
4765	1437	B
2446	929	B
656	367	B
1321	495	B
2000	741	B
6416	1893	T
788	476	B
1605	658	T
3554	1095	T
1347	624	B
661	382	B
2665	1014	B
3820	1358	B
2371	962	B
1254	621	B
11706	2589	T
1640	631	B
2927	883	B
1969	642	T
2151	815	B
4125	1282	T
2481	777	B
1331	561	B
1061	607	B
1188	466	T
654	384	B
865	567	T
2565	817	B
2102	814	B
2542	810	B
1970	631	B
1316	595	B
686	409	B
558	415	B
1702	569	T
542	349	B
5104	1572	T
538	331	B
1950	647	T
1825	667	B
1160	638	B
1819	920	T
2715	872	B
2781	774	B
1688	636	B
2149	659	T
548	382	B
1281	716	B
758	362	B
1742	608	B
2079	693	B
1619	582	B
2908	1174	T
595	328	B
990	489	B
1667	800	B
1743	633	B
1366	712	T
2308	690	T
707	393	B
2387	934	B
584	307	B
1673	951	B
1183	684	T
2615	807	T
1493	623	B
675	449	T
616	363	B
656	385	B
2452	742	T
1847	667	B
1160	553	B
2508	890	B
1567	717	B
2363	744	T
2354	903	T
576	378	T
613	380	B
2110	649	B
1559	738	T
2183	1031	T
2356	921	B
1042	669	T
2283	972	B
2318	743	T
499	328	B
2647	1065	B
3469	1242	B
2110	726	B
678	407	T
1387	564	B
510	309	B
1485	607	T
1953	679	B
2065	649	B
685	419	B
952	462	T
2149	709	B
2573	739	T
2214	685	B
776	375	B
584	393	T
1601	862	B
2483	830	B
2592	856	T
644	353	B
3393	992	T
2883	1128	B
2047	733	T
3988	1075	T
528	340	B
1456	676	B
2993	856	B
792	464	B
1115	627	T
1215	626	B
780	520	B
1080	481	B
1177	635	B
1197	665	B
2045	822	T
2402	779	B
626	305	B
576	349	B
4170	1465	T
1218	585	B
1848	734	B
791	477	B
2566	816	B
2339	1160	B
564	348	B
534	303	B
945	523	B
976	372	B
664	400	B
2979	1100	B
3057	1027	B
1770	808	T
2240	999	B
1089	411	B
586	378	T
1236	547	B
2605	805	B
1272	488	B
540	316	B
2150	678	T
2425	784	B
1069	616	T
2491	773	B
2170	832	T
2583	798	B
1527	712	T
1966	911	T
579	374	B
2427	906	B
833	514	T
4105	1418	B
1926	646	T
647	464	B
3079	953	B
631	430	B
2059	683	B
2908	1141	T
2308	852	T
2433	759	B
1897	635	B
2618	827	B
1880	878	B
1437	615	T
1588	780	T
1599	562	B
2252	680	B
1098	640	B
1042	545	T
3462	1098	B
673	435	T
2409	954	B
2086	741	B
1158	685	B
3439	994	B
2522	750	B
1601	666	B
778	540	B
1353	647	T
2840	1304	T
833	474	B
3416	1278	B
1817	664	B
2343	754	B
635	330	B
939	535	B
817	509	B
913	539	T
1375	704	B
499	288	B
3057	1210	T
2660	956	T
1995	701	B
2623	764	B
5435	1739	B
1158	674	T
828	518	T
1742	779	B
777	502	B
1637	706	B
1028	610	B
939	577	T
858	357	B
559	310	B
5479	1794	T
639	427	B
3292	1029	B
622	372	B
527	319	B
2827	998	B
2122	835	B
2634	764	B
2949	985	T
578	373	B
1836	591	B
2830	949	B
2616	1100	T
2703	860	B
2501	827	B
2332	833	B
838	421	B
3075	1158	B
987	402	B
1238	751	T
1088	397	B
3296	1184	B
806	473	B
541	375	B
2378	812	T
531	331	B
652	387	B
690	466	T
1645	656	B
1483	583	B
1748	651	B
2931	877	B
614	375	B
885	520	B
1724	737	B
804	536	T
2304	809	B
1188	604	B
3745	1233	B
636	402	B
531	400	B
1789	693	B
2506	963	T
875	531	B
879	557	T
704	372	B
1458	736	T
2105	749	B
508	212	B
1138	656	T
5000	1841	T
531	358	B
3190	765	T
1580	810	B
2204	897	B
1352	640	T
744	408	B
1269	582	B
1347	773	T
1752	709	T
1307	660	B
536	342	B
11216	2530	T
4565	1525	B
505	265	B
774	459	B
2215	907	B
1642	726	B
1471	705	B
1253	567	B
3939	1352	T
1210	531	B
863	531	B
825	527	B
844	518	B
2312	802	B
1532	659	B
1278	688	B
625	424	B
1564	625	B
940	595	T
1722	612	B
2425	771	B
3146	1021	T
1008	572	B
2445	1061	B
3075	833	B
3401	982	B
1936	958	T
2265	803	T
1774	736	B
1899	711	B
2880	1195	T
742	457	B
1082	431	B
3672	1187	B
593	335	B
4320	1235	B
1025	713	B
529	358	B
2238	607	B
757	387	B
2103	814	B
2006	777	B
2277	765	T
733	482	B
2116	687	B
837	465	B
841	493	B
1730	547	B
2353	705	B
1091	505	B
1028	604	B
2991	996	B
752	483	T
572	347	B
2694	1038	B
660	408	B
524	294	B
641	429	B
805	428	B
640	393	B
3156	1061	B
905	468	B
544	354	B
3174	992	B
1636	560	B
2186	783	B
1504	732	B
1934	889	B
583	377	B
2204	734	B
8515	2356	T
2271	681	B
943	593	B
1890	757	B
732	350	B
2115	936	T
8304	2141	T
2915	1046	B
762	419	B
611	357	B
3523	989	T
1204	461	B
758	396	B
2441	907	B
2110	803	B
674	449	B
2752	791	B
580	326	T
1957	621	B
5718	1733	T
543	332	B
3933	1091	B
505	284	B
4450	1079	B
1462	521	B
935	574	B
3398	1080	B
3454	993	B
1247	770	B
3332	1176	T
1080	419	B
915	565	T
2882	1186	T
3171	1041	B
983	516	B
1290	581	B
1711	649	B
1221	630	B
505	316	B
1150	470	B
764	397	T
811	522	B
576	361	B
1321	496	B
2813	980	B
559	392	B
1098	523	B
794	480	B
1068	679	B
2774	930	B
974	568	B
2432	731	B
1481	543	B
660	411	T
2596	813	B
1376	750	T
731	406	B
904	547	B
2410	491	B
1958	879	B
1723	673	T
2152	951	B
5005	1555	B
2829	911	B
2049	703	T
2009	713	B
1482	745	B
2976	1173	T
645	428	B
1346	601	B
763	410	B
1272	603	B
