nUMIs	nGenes	cell_type
3176	1204	B
3290	1008	T
2155	809	B
3196	960	B
1795	800	B
636	372	B
3994	1298	B
3417	1157	B
4081	1318	T
4745	1399	T
566	294	B
1117	542	T
1871	601	B
1160	211	B
3224	1281	B
3335	1003	B
3265	1114	T
5413	1451	B
567	295	B
3555	1086	B
1386	350	B
3501	1075	T
10313	2309	B
1839	914	B
1675	663	B
2900	714	T
2887	997	B
791	391	B
4237	1342	B
5118	1693	B
517	296	B
2098	779	B
1441	335	T
627	337	B
3126	1116	B
2650	1021	B
692	167	B
2496	878	B
729	421	B
1653	741	B
2767	1052	B
4475	1425	B
2283	947	B
5626	1803	T
2661	726	B
541	308	B
3657	882	B
1646	733	T
2813	1147	B
3582	982	B
1305	705	B
7734	2041	B
5216	1716	B
1719	698	B
3499	1302	B
975	541	B
2803	1059	T
7832	2063	T
5899	1492	T
5281	1838	B
1719	729	B
1900	912	B
612	237	B
6009	1394	B
1306	626	B
2013	816	B
5119	1490	T
5094	1532	B
5067	1627	B
1566	733	B
3878	1290	T
3118	985	B
4584	1574	B
558	317	B
760	404	B
2552	735	T
4557	1121	B
7809	1822	B
1622	687	B
3167	1063	T
1651	745	B
3173	1231	T
814	505	B
1131	181	B
3528	1219	B
2768	852	B
3965	1125	B
6309	1876	B
564	308	T
4835	1473	B
1341	745	B
2105	563	B
5159	1201	T
3750	1026	B
4437	1453	B
5443	1652	T
1105	550	B
1372	592	B
692	168	B
854	530	B
4306	1435	B
6270	1817	T
583	340	B
9967	2432	B
829	133	B
3118	1068	B
2676	1000	B
4916	1541	T
4112	1124	B
2971	1144	B
725	448	B
6013	1418	B
5253	1618	T
6007	1674	B
5198	1573	B
1879	770	B
1980	844	B
2124	719	B
10206	2754	T
1915	768	B
932	466	B
1999	781	T
1549	666	B
3981	1234	T
6022	1713	T
4398	1412	B
6318	1778	B
2457	1000	B
3582	807	B
1146	654	B
725	396	T
6291	1843	B
1854	891	B
4359	1162	B
4028	1321	B
1147	623	B
4028	1305	B
574	312	B
2197	771	B
1211	328	T
1001	526	B
1438	749	B
2571	589	B
1398	641	B
3601	1238	B
962	582	T
703	317	B
4037	1160	B
6586	1693	B
3607	1191	B
3764	1201	T
2962	1063	B
4100	1391	T
3279	823	B
2083	855	B
1515	646	B
3107	973	B
6127	1725	B
2399	1034	B
3160	1047	T
1840	783	B
1169	574	B
4649	1406	B
1047	625	B
872	539	B
10403	2310	B
3810	1263	B
9011	2513	T
4173	1342	B
3101	1091	B
5778	1590	B
562	159	B
10630	2211	B
2504	877	B
4947	1587	B
2203	873	B
2511	1054	T
3157	881	B
1189	623	T
981	236	B
524	302	B
4007	1322	B
7156	2253	T
873	152	B
6912	1805	T
2404	839	B
1460	448	B
1268	602	B
2928	1085	T
755	509	B
1675	685	B
4782	1301	B
1688	567	B
3081	1122	B
1962	912	B
3297	1194	T
11597	2615	T
2540	672	B
1671	709	B
4338	1443	B
900	151	B
3808	1067	B
835	457	B
1296	444	B
787	489	B
2609	1004	B
6170	1894	B
2653	995	B
572	347	B
1008	422	B
739	239	B
1028	593	B
2993	1017	T
867	101	B
4254	1259	T
962	683	B
1428	611	B
2334	886	B
7169	2049	B
8411	2144	B
5121	1523	T
2622	984	B
6529	1905	B
2345	998	B
1753	767	B
3744	1224	T
3655	976	B
7448	2027	T
593	188	B
4310	1034	B
3479	985	B
2146	868	B
1280	630	T
536	310	B
3932	311	B
5273	1431	B
2132	877	B
758	420	T
6921	1974	T
4512	1173	T
5908	1753	B
1025	470	T
3902	1340	T
6493	1807	B
4953	1374	B
2883	1053	B
4879	1454	B
1405	724	B
2219	920	B
4358	1175	B
895	568	B
1467	609	B
1685	822	B
6412	1598	B
5053	1686	B
5236	1591	B
5393	1608	B
1627	626	B
6873	1845	B
4048	825	B
4573	1299	B
2019	680	B
2143	336	B
1685	713	T
2544	955	B
3858	1194	B
4667	1351	B
3479	1190	B
1798	776	T
4363	1288	B
851	446	T
2547	650	B
9991	2379	B
2954	949	B
2431	850	T
8257	2059	B
2250	778	B
3246	847	B
2843	892	B
3222	1030	B
3133	1284	B
9542	2136	B
2581	1021	B
2424	1076	B
2433	953	B
2637	1084	T
980	514	B
2290	874	B
4966	1371	B
1638	773	B
2511	919	B
2362	839	B
4899	1407	B
3528	1035	B
3935	1255	T
2298	937	T
6866	1654	T
2445	1226	B
522	296	B
2282	898	B
7473	1906	B
6060	1869	B
6263	1653	B
1540	736	B
2969	1088	T
700	408	T
1514	729	B
6472	1738	T
2930	969	B
3382	1205	T
4688	1585	T
3713	1371	T
3175	1157	B
2178	883	B
3483	886	T
2313	915	B
3490	1035	B
3970	308	B
5755	1395	B
3914	996	B
4854	1665	T
3771	1322	B
966	468	B
6005	1894	B
5489	1602	T
4015	1281	B
929	525	B
4240	1380	B
3961	1348	B
2569	957	T
3291	1081	B
4715	1208	B
7326	2138	B
1361	654	B
3465	1019	B
1615	712	B
2530	1007	B
3669	1317	B
510	322	B
2758	1013	B
3173	1099	B
1153	555	B
3403	1030	B
4394	1389	B
3860	1122	B
9945	2549	B
3280	1208	B
1139	718	B
8152	2082	B
930	501	T
3306	1320	B
575	372	B
1239	578	B
2559	868	B
1281	569	B
2343	911	B
4384	1477	T
3835	1352	T
819	382	T
3685	1276	T
2318	675	B
8700	1902	T
4059	1287	B
5637	1820	T
1790	202	B
1465	586	B
972	389	B
626	387	B
2398	792	B
1651	814	B
2694	1108	B
1900	824	T
3663	1060	B
1504	762	B
553	356	B
1462	679	B
514	264	T
1245	271	B
4527	1524	B
4032	1341	B
4737	1325	B
2726	1088	T
4421	1319	T
2941	1124	B
1556	287	B
1257	560	B
5057	1368	B
2915	905	B
1194	568	B
4172	1363	B
5001	1343	B
4103	1184	T
816	482	B
1810	755	B
3469	1046	T
3639	1256	B
823	513	B
2900	979	B
3641	1117	B
2404	664	B
5177	1603	B
2446	983	T
4641	1222	T
2277	925	B
2947	1067	B
3015	1014	B
1591	200	B
3774	1293	B
4878	1576	B
3835	1105	B
3197	1056	T
3598	1309	B
4272	1403	T
1107	186	B
709	418	T
2929	1088	B
3434	1108	B
742	408	B
7765	1989	B
3466	986	T
3536	1348	T
3172	1118	B
2107	963	B
5990	1774	B
5375	1888	B
6538	1843	T
2563	1010	T
4720	1267	B
1719	501	B
1377	675	B
7848	2320	B
1075	413	B
7202	1766	T
2624	876	B
5410	1696	B
7844	2125	B
3435	998	B
917	515	B
5253	1481	B
2484	1218	B
2508	968	B
2389	958	B
1136	412	B
933	516	B
2151	591	T
664	388	B
3850	1179	B
2424	777	B
4402	1210	B
4078	1213	B
3985	1531	B
1537	652	B
5316	1406	B
8114	2077	T
3259	1183	B
2782	1019	B
2038	680	B
8687	2209	B
1068	642	B
4121	1079	B
2065	876	B
2168	858	B
4885	1499	B
2755	387	B
1087	547	B
2861	1051	B
2365	994	B
2975	1099	B
1857	709	B
2008	862	B
3763	1359	B
771	461	B
1474	628	B
4319	984	B
5344	1510	T
4217	1451	B
1357	663	B
2786	1114	B
2161	841	B
2697	1090	B
3864	1371	B
7033	2002	T
1693	777	B
3597	1346	B
1083	673	B
5562	1845	B
2449	927	T
2783	1093	B
6268	1651	B
3323	1426	T
3022	1222	B
1209	592	B
3042	910	B
2193	581	B
2838	764	B
1584	608	B
696	437	B
2782	1044	T
1199	645	B
6380	1827	B
3592	1245	B
6400	1758	B
6116	1499	B
1980	692	B
4701	1427	B
3055	1200	B
1459	620	B
3356	844	T
1046	596	B
3998	1193	T
546	175	B
2330	965	T
673	377	B
2980	1200	B
4517	1368	B
2549	806	T
2658	924	B
6429	1551	B
1472	595	B
5530	1202	B
2201	854	B
5464	1554	T
1642	824	B
4112	1334	T
2467	996	B
3715	1079	B
3828	1165	B
3913	1112	B
5898	1697	T
3513	1151	B
1210	502	B
15493	3573	T
1510	643	T
5207	1520	T
6802	1850	B
1774	696	B
2479	953	T
3218	1016	B
1278	329	B
4163	1454	B
2999	254	B
2463	943	B
2623	894	T
2658	999	B
7876	2058	B
4084	1273	T
1164	546	B
2217	754	B
4227	1157	B
1049	526	B
1163	516	B
5056	1621	B
4315	1292	B
3035	1096	B
2720	897	B
3505	1159	T
2142	703	B
3201	946	B
3179	1627	T
8449	1986	B
2497	1055	B
3539	1422	B
5207	1637	T
1238	642	B
3799	1320	B
2607	1383	T
1510	729	B
5022	1192	B
5793	1661	B
1509	658	B
660	392	B
3410	1242	B
1750	852	B
8024	1967	B
5843	1632	T
3273	1128	T
3854	1224	T
5764	1755	T
1932	828	B
3430	913	B
3241	1114	T
1128	666	B
2388	1103	B
3212	894	T
2050	978	B
2518	984	B
2721	1079	B
2843	1115	B
2290	699	B
1870	976	T
2445	772	T
5093	1484	B
1958	817	B
2543	829	B
4802	1462	T
597	322	B
3726	1236	B
1806	805	B
4705	1540	B
3908	1516	B
3045	1088	B
2337	757	B
1240	713	T
1979	859	B
4735	1387	T
5883	1895	B
1376	780	B
10361	1684	B
1348	737	T
5910	1794	T
943	602	B
1810	652	T
3045	1113	B
9004	2200	B
17966	3738	T
2111	865	B
1310	609	B
8386	2272	B
1332	273	B
4417	1571	B
2779	1131	T
3041	972	B
783	397	B
551	155	B
1149	671	B
3223	1158	B
1348	599	B
6581	1506	T
4157	1066	B
1997	1006	B
1649	727	B
5554	1359	B
3116	899	B
4642	1346	T
503	243	B
634	202	T
1116	462	B
1641	690	B
1455	595	B
1756	623	B
2352	880	T
825	474	T
3379	1202	T
5321	1509	B
8020	1988	T
3992	1357	B
2353	824	B
4657	1558	T
1839	817	T
1106	642	B
2319	722	T
2785	810	B
2317	765	B
2647	973	T
2467	345	B
6036	1763	B
1767	642	B
3940	1079	B
3083	852	B
1056	538	B
3808	1102	T
2228	710	B
4568	864	B
3106	777	B
4684	1595	T
5473	1450	T
2231	879	B
4501	1183	T
6217	1649	T
748	370	T
2679	988	B
1411	623	B
5125	1822	T
3005	935	B
1498	656	B
1301	629	B
5833	1656	B
8092	2184	B
788	355	B
2022	755	B
2680	729	B
1216	589	T
6646	1795	T
4510	1428	B
1804	977	B
1209	296	T
839	503	B
1623	943	T
4301	1605	B
3991	1394	B
1011	597	B
1178	542	B
815	358	B
800	500	B
3047	913	T
7721	2000	B
1323	610	T
4321	1430	B
2117	867	B
1613	777	B
3230	1109	T
1627	705	B
2083	767	T
3640	1235	B
5955	1942	B
1410	639	B
944	535	B
738	423	B
6070	1142	B
1154	364	B
3837	1322	T
2418	1099	B
4673	1108	B
2001	780	B
3264	905	B
2667	1080	B
3976	1348	B
1128	528	B
9032	2174	B
2048	891	T
608	354	B
763	391	B
2796	1038	B
1332	504	B
3072	916	B
999	494	B
1593	305	B
509	218	B
2803	984	B
8117	2191	B
2629	947	B
3612	1077	B
2183	729	B
2193	640	B
593	398	B
2130	930	B
3640	1208	T
2329	978	B
2704	894	B
2453	946	B
1616	645	T
5336	1559	T
2724	1167	T
1595	896	B
4345	1342	T
2053	756	B
2460	1134	B
5633	1330	T
4278	1437	T
1175	148	B
6617	1837	B
840	473	B
4202	1140	B
2883	1097	T
1177	255	B
3374	1234	B
2435	780	B
6420	1515	B
2991	537	B
1425	205	B
3344	1092	B
6552	1913	B
2294	971	B
2211	879	B
6291	1615	B
1968	1019	B
2323	1051	B
2475	724	B
7704	2031	B
1849	762	B
792	537	B
2423	889	T
5582	1872	T
3964	1381	B
3733	1241	T
551	289	B
7130	1742	B
3506	1091	B
5830	1030	B
2146	873	B
1392	499	B
4037	1387	B
3232	1006	B
3973	848	B
2554	1011	T
6308	1944	T
2215	841	B
3159	1144	B
1183	427	B
4268	1519	T
1522	731	B
2654	1038	B
1539	769	B
795	455	B
3414	1272	B
1138	725	B
2985	854	B
2446	987	B
7237	1989	B
1046	550	B
5861	986	T
1317	598	B
1049	557	T
5709	1475	B
1092	643	B
2566	1001	B
2187	839	T
1548	714	B
4308	1380	B
4657	1292	B
3738	1186	T
4083	1243	B
698	179	B
2752	916	B
1183	417	B
5618	1637	B
7791	1876	T
2166	1009	B
1465	652	B
2356	952	B
1426	717	B
2235	1128	B
2106	596	B
9560	2610	B
705	326	B
1626	680	B
3105	1004	T
3584	1204	B
3100	1393	B
957	223	B
2073	572	B
2497	954	B
4685	1182	B
3926	602	B
1145	537	B
2690	1004	B
5316	1617	B
1433	501	B
2496	1068	B
4001	1507	T
3037	991	T
1247	557	B
13946	2296	T
5986	1667	T
4041	1080	B
1722	674	B
504	258	B
1126	643	B
1374	627	B
3817	883	B
5644	1128	T
5533	1506	B
1354	737	B
6494	1773	B
4905	1593	T
6475	1741	B
776	417	B
5545	1611	B
995	500	T
1721	748	B
3363	1252	B
1390	638	B
3806	1072	T
2821	816	T
2186	646	B
2390	965	T
2946	941	B
1224	569	B
2338	1053	B
2633	845	B
3918	1000	T
2255	1028	B
6237	1643	B
3677	1117	B
3945	844	B
5835	1649	B
637	379	B
1623	719	B
3127	989	B
626	403	B
705	181	B
6637	1773	B
4128	1266	T
2826	1050	T
2565	1073	T
1298	568	B
5617	1615	T
1898	783	B
1739	753	T
3660	1079	B
753	217	B
3747	1308	B
2495	1033	B
4721	1436	T
9298	2320	T
2946	1066	B
5587	1737	B
3344	1305	B
9229	2126	T
900	472	B
2598	821	T
3276	1158	T
3211	956	B
533	308	B
3386	920	B
680	437	B
3259	907	B
608	373	B
1935	824	B
1844	751	T
3572	1211	B
1661	626	B
5749	1363	B
1562	643	B
1977	797	B
639	155	B
2449	347	B
2605	836	B
3549	1018	B
3168	1107	B
2796	1047	T
3487	1210	B
2042	798	B
4456	1520	B
2236	986	B
2369	960	B
8690	1924	T
1313	610	B
816	139	B
2587	924	B
1781	661	B
2531	763	B
910	532	B
3970	1098	B
3063	1185	B
1608	227	B
2083	833	B
5817	1559	B
8001	1810	B
587	304	B
2115	954	B
1828	776	T
1123	695	B
6206	1815	B
1319	309	B
619	125	B
3277	984	T
696	408	B
2747	1111	T
2793	1182	B
3063	1020	B
4792	1075	B
3090	1093	B
3455	1391	B
5931	1652	B
4983	1682	B
10912	2413	B
3062	1112	T
2904	1097	T
644	393	B
2756	1072	B
620	336	B
2600	909	B
1265	571	T
1200	546	B
956	464	B
1809	852	T
2501	1068	B
2352	972	B
3078	1179	B
2163	1068	B
3023	1110	B
2439	802	B
4585	1346	B
3715	1115	B
2967	749	B
2344	993	B
3228	988	T
1006	524	B
3986	1014	B
2301	1022	B
5989	1706	B
6201	1887	B
2718	839	B
1214	560	B
1151	320	B
1067	643	B
4137	1338	T
978	549	B
4372	1161	B
3046	1389	B
6799	1893	B
3802	1218	T
2331	1044	T
4041	1287	B
723	453	T
958	619	B
6830	1934	B
2036	795	B
4453	1421	T
4652	1075	B
4075	1239	B
4478	1218	T
1295	557	T
1844	456	B
3058	863	B
3496	1161	B
898	506	B
2438	917	B
2550	869	B
5987	1738	T
967	452	B
1039	522	B
521	341	B
1320	583	B
5331	1496	T
4142	1278	T
2585	773	B
2557	931	T
678	335	B
11055	2714	T
1118	526	T
1668	322	B
5165	1603	B
4004	1397	T
4594	1154	B
2041	967	B
957	500	B
2111	877	B
3740	1038	B
3311	1090	B
3441	689	B
672	387	B
3602	1223	B
3265	1230	B
3095	1081	B
765	372	B
5108	1425	B
1564	652	T
4330	1496	B
1290	598	B
1491	665	T
2263	568	B
721	403	B
1989	747	B
1323	592	B
544	337	B
2057	783	T
2298	924	B
778	440	B
2917	925	B
1264	418	B
2109	861	B
4435	1171	T
1531	306	B
7414	1808	T
1589	681	B
869	360	B
4436	1439	B
3186	1041	B
3287	942	B
1615	780	B
803	446	T
1496	394	B
3173	898	B
1618	568	B
1992	802	T
1421	595	B
4261	1266	B
2727	992	B
2158	733	B
1954	845	B
1728	905	B
1352	607	B
2647	790	B
1344	681	B
2166	948	B
3171	913	B
4421	1475	T
2102	783	B
508	328	B
2312	720	B
1832	701	B
4004	1109	B
3931	1371	B
2944	1226	B
2682	1236	B
2496	977	B
756	481	B
3966	1239	B
5066	1574	T
3012	1041	B
714	490	B
3139	255	B
2144	828	B
4225	1354	B
588	345	B
1873	206	B
8830	2153	B
7541	1806	B
1144	533	B
1953	699	B
1407	716	B
4563	1193	B
1025	558	T
2439	907	B
1205	554	B
5764	1638	B
8133	2031	B
3124	934	B
7512	2373	B
4172	1454	T
2346	1042	B
1105	510	B
1266	506	B
4971	1649	B
2883	999	T
1163	683	B
2032	702	B
6777	1987	T
2870	1008	B
1548	739	B
1551	749	B
629	367	B
4479	1386	B
2180	801	B
3255	806	B
2648	1068	B
2541	899	B
2012	707	B
4133	1109	T
2769	1077	B
924	568	B
2332	921	T
1389	600	B
3556	1017	B
1188	620	B
1354	617	B
1036	563	B
1739	562	B
1809	792	B
1596	840	B
4453	1163	B
5171	1660	B
4826	1225	B
8819	1777	B
1547	747	T
1836	274	B
1490	631	T
3212	854	B
789	461	B
2830	1158	T
4663	1456	T
827	348	B
1296	656	B
1285	207	B
4764	1432	T
565	272	B
4887	1236	B
3017	610	B
3325	902	B
705	437	B
3519	947	B
1847	751	B
4655	1397	T
774	203	B
2668	807	B
