nUMIs	nGenes	cell_type
3656	1309	B
4216	1109	B
4990	1469	B
8186	1557	T
3452	1324	B
1368	797	B
2450	908	T
3863	1063	B
3301	1125	B
1709	749	B
2276	831	B
2041	910	B
1240	621	B
1418	639	B
2356	858	B
2553	956	B
2707	963	B
3119	1094	T
4605	1518	B
2974	1100	B
6122	1757	B
1608	688	B
1987	851	B
2444	822	B
3933	1169	B
4073	1347	B
5070	1444	T
3052	822	B
566	106	B
5267	1465	B
2356	918	B
1197	631	B
3717	1218	T
4492	1142	B
631	384	B
662	408	B
2347	928	B
4279	1365	B
3146	1137	T
1791	779	T
6531	1515	T
7257	1911	T
8385	2217	T
920	495	T
650	228	B
1475	695	T
3836	1175	T
1761	608	B
4572	1318	B
2386	880	B
748	481	B
866	472	B
2674	1027	B
1519	765	T
3345	627	B
1012	346	B
916	487	B
5153	1747	B
3701	1192	B
551	305	B
3625	1023	B
3323	1182	B
2033	862	B
4933	1445	B
1235	586	B
1105	542	B
1227	653	B
1431	611	T
2842	879	B
2702	1033	T
3084	925	B
5775	1499	B
2545	895	T
1704	741	B
3445	990	T
2217	962	B
3436	871	B
3765	748	B
4173	1320	T
6402	1754	T
1315	630	B
7126	1807	B
2480	946	B
2942	1039	T
3493	1221	B
2437	973	B
1228	641	B
2374	934	B
2626	973	B
2921	407	B
2060	778	B
2071	786	B
799	442	B
6446	1793	B
1361	581	B
1650	706	B
562	377	B
2672	1086	B
1426	612	B
1750	740	B
1229	633	B
7035	1910	B
2910	1065	B
1981	883	B
4016	1301	B
3336	1099	T
5875	1653	B
824	524	B
1824	669	B
573	343	B
6312	1112	B
1201	540	B
3786	1102	B
1607	710	B
2540	1097	T
2269	879	T
7286	1999	T
2462	748	T
1685	846	B
4329	1151	T
4084	1214	T
2223	918	B
751	197	B
2576	828	T
637	334	B
3832	1289	B
3972	763	B
608	305	B
671	340	B
2001	803	B
1689	779	B
1898	782	B
2878	1104	B
2703	981	B
5572	1262	T
1942	553	B
9418	2297	B
3632	1221	B
900	367	B
3341	1088	B
5068	1478	B
3670	1193	B
1022	609	B
661	438	B
3626	980	T
2359	1072	B
5118	1438	T
1792	754	B
4390	845	B
17082	3330	T
1798	780	B
1976	824	B
5722	1680	T
4498	1278	B
1012	443	B
2463	890	B
2469	906	B
3442	1240	T
1610	312	B
5003	1450	T
4584	1405	B
3841	1188	B
4376	1475	B
6700	1705	B
2756	1066	T
2299	1160	B
1729	713	B
1991	594	B
3293	1117	T
2689	966	B
2883	1145	B
1313	586	B
5585	1646	T
6387	1643	T
2158	901	B
1550	798	B
4189	1402	B
5468	1661	B
2774	996	T
2655	1049	T
765	491	B
3277	1105	B
2129	715	B
2845	572	B
3429	1181	T
1742	995	B
623	365	B
3759	1247	B
1922	872	B
3735	1159	T
5042	1464	B
6533	1671	B
2246	919	T
2211	853	B
2944	1192	B
1411	641	B
5737	1600	T
4823	1409	B
1642	752	B
3242	1135	B
2349	743	B
1510	682	B
4332	1298	T
2998	1057	B
7093	1904	B
2958	1070	B
8801	2411	B
1643	776	B
5528	1851	B
1576	630	B
3172	872	B
583	339	B
2802	1005	B
1380	574	B
709	102	B
7311	1921	T
4544	1543	B
1956	713	B
2434	942	B
2175	825	B
1102	544	B
6210	1771	B
8708	2129	T
1448	648	B
6848	1745	T
1105	587	B
3130	1139	B
924	197	B
584	287	B
2555	1023	T
3740	1343	T
29181	4216	T
1212	641	B
2901	1104	T
5532	1480	B
2145	881	B
4037	1047	T
873	520	B
1007	525	B
516	250	B
623	424	B
2693	1067	B
1762	543	B
4011	1322	T
6518	2114	T
3888	997	B
1357	755	T
2671	867	B
2336	881	B
1327	798	B
858	425	T
5307	1995	B
6133	1835	B
2844	1019	B
845	452	B
2820	797	B
4190	1433	B
639	353	B
535	314	B
4624	984	B
6410	1898	B
1321	690	B
3921	1318	B
2976	1038	B
2018	910	T
1380	601	B
2543	962	B
3886	1396	B
2340	955	B
846	450	B
2621	976	T
1037	519	B
2130	681	B
2746	865	B
2973	993	B
1051	346	B
3262	994	T
5052	1763	B
2665	999	B
1190	646	B
616	400	B
3134	1104	B
8087	2068	T
1472	692	B
1399	785	B
1497	621	B
7293	1742	B
4670	1558	T
508	342	T
4289	1315	B
3756	1344	B
2173	875	B
2283	891	B
1085	659	B
3051	1095	B
4208	378	B
3196	873	B
700	405	B
1171	526	B
1428	529	B
3646	937	T
1238	795	B
960	594	B
999	643	B
1986	657	B
6126	1852	T
3471	1189	B
10130	2387	B
1110	136	B
2525	1070	B
2577	1028	T
2491	991	B
2214	918	B
1839	575	B
1100	631	B
3186	1025	B
3283	1292	B
612	366	B
3888	1172	T
2869	999	T
5931	1261	B
2435	924	B
1519	779	B
726	420	B
672	442	B
794	122	B
2864	1122	B
3456	1270	B
3177	864	B
3629	1016	T
4816	1574	T
1647	708	B
836	424	B
2176	819	B
3515	1061	T
3358	1103	B
2127	868	B
2229	869	B
1099	616	B
3089	1157	B
1032	494	T
3095	1018	T
592	369	B
5281	1610	B
768	426	B
8823	2297	T
3073	304	B
3713	1039	B
710	445	B
1399	458	B
7783	2103	T
1164	515	B
4570	1501	B
1125	517	B
4227	1327	B
1615	898	B
3543	952	B
3761	1207	B
4977	1137	B
4611	1486	T
1211	649	B
4564	1362	T
1306	644	B
1487	624	B
598	377	B
2925	1162	B
2908	892	B
6293	1859	B
4016	1313	B
2966	1019	B
2781	997	B
928	515	B
3637	897	B
2451	847	B
2394	604	B
4700	1253	B
1910	697	B
602	336	B
569	291	T
3731	1180	B
663	397	B
2423	922	B
745	464	B
3197	1028	B
2568	901	B
1077	592	B
1791	208	B
4050	1137	B
3321	1185	T
2235	932	B
3936	1351	B
3298	1034	T
4007	928	T
1540	456	B
3547	1164	B
3226	964	B
3369	1000	B
7340	1631	T
2007	887	B
3310	1127	T
3240	1187	B
1244	786	B
2947	1200	T
1151	697	B
8018	2129	T
3881	1457	B
7470	1654	T
1571	654	B
699	408	B
4668	1068	B
1133	186	B
823	435	B
1277	516	B
1663	703	B
3066	1075	B
1381	654	B
2755	782	B
594	359	B
2244	907	B
703	193	B
649	374	B
5468	1462	B
2022	704	B
4123	1356	B
592	383	B
9013	2245	T
3152	954	B
9366	2386	T
1902	802	B
12512	2743	B
1432	801	B
505	298	B
668	367	B
895	422	B
3932	1097	T
3621	1155	T
2184	957	B
1846	387	B
6239	1722	T
1574	349	B
1825	683	T
1168	444	B
1290	665	B
593	294	B
793	357	B
4220	1366	B
2720	1005	B
3093	1033	B
3821	1267	B
2875	1019	B
11778	2586	B
2321	815	B
3767	864	T
4289	1184	B
6238	1697	T
1691	723	B
607	311	T
2594	958	B
1053	721	T
5301	1472	B
817	527	T
3131	1018	B
3008	1149	B
4663	1557	T
1384	695	B
2524	765	B
1000	574	B
684	378	B
2886	1108	T
3157	1161	B
3098	1153	B
1577	553	B
4897	1502	B
7631	2151	T
726	429	B
3985	1367	B
1986	836	B
4777	1470	B
5947	1029	B
1764	725	B
4565	1081	B
2916	1195	T
514	256	B
6504	1854	B
4480	1474	B
4959	1336	B
598	346	B
3478	1112	B
4658	1470	B
1038	584	B
803	487	B
2393	966	B
857	464	B
4736	1530	B
7588	1442	B
4406	1496	T
2869	885	B
770	402	B
796	462	B
513	293	B
3393	1342	B
2903	1058	B
3692	1525	B
5224	1631	T
660	299	T
1824	789	T
3750	1266	B
1302	460	B
2329	1017	B
1597	663	B
625	323	T
4399	1418	B
6632	1807	T
556	342	B
1682	775	B
2410	991	T
2400	923	B
822	501	B
7168	1992	T
2702	1022	B
1668	622	B
5004	1330	B
2036	627	B
2239	620	B
7112	1295	B
1124	621	T
836	270	B
2744	1016	B
1969	755	B
1653	832	B
1332	560	B
2498	1081	T
2632	927	B
1049	529	B
3357	1047	T
2389	799	B
1120	619	B
3209	1151	B
8118	1793	B
3233	968	B
1543	636	T
4568	1554	B
3213	1103	B
2607	1010	T
1108	709	B
2161	553	B
1188	548	B
2221	694	B
3496	1159	T
2008	830	B
4891	1597	B
1914	370	B
2820	770	B
3516	968	B
3264	988	B
1673	726	B
692	453	B
2579	1146	B
3375	1141	B
5839	1499	T
1241	576	B
8677	2334	T
9310	2047	T
2771	1098	B
1009	491	B
987	619	B
3295	834	B
4413	1190	B
1131	557	B
1697	786	B
3249	1410	B
2359	980	T
3130	1088	T
6248	1939	T
6013	1736	B
2871	1052	B
3708	1327	T
1084	594	B
745	390	B
2593	976	B
7330	1843	T
2840	1144	B
1769	667	B
4214	1302	B
1242	658	T
632	203	B
3028	1186	T
4684	1332	T
633	358	B
4311	1405	T
7707	2060	B
2985	1037	T
3465	1180	B
2547	899	B
2123	806	B
2627	1053	B
3748	1078	T
4109	1222	B
750	510	B
2217	837	B
2677	818	B
833	540	T
2250	908	B
4882	1460	T
1025	652	B
3813	1252	B
2517	744	B
5366	774	B
3255	1206	B
4033	1045	T
2255	854	B
1204	216	B
2054	864	B
3305	1195	B
4307	1212	B
1292	626	B
4304	1192	B
5782	1565	T
3646	1280	T
3521	1161	B
5765	1759	T
2076	921	B
5112	1589	B
912	321	B
1023	565	B
2359	1058	B
915	536	B
1478	658	B
3700	1271	T
1328	311	B
3973	1408	B
821	326	B
2736	1050	B
896	582	B
2463	971	B
3027	857	B
1712	711	B
985	508	B
12591	2652	T
3870	1078	B
1178	500	B
1707	768	B
3612	1258	T
3534	952	B
3174	1214	B
3669	808	B
1379	708	B
2409	948	T
2594	900	B
4386	1364	B
1021	566	B
1680	442	B
7988	1988	B
1918	777	T
3807	1303	T
804	135	B
1894	752	B
5928	1353	T
2127	888	T
1130	564	B
6156	1561	T
1958	689	B
3306	1136	T
1286	475	B
2113	674	B
4464	1420	B
707	387	B
5609	1579	T
3336	1198	T
2973	1096	T
1295	518	B
6184	1852	T
4201	1416	B
3327	927	T
3880	1467	B
4329	1404	B
4834	1542	B
1130	637	B
8337	1999	B
5608	1074	B
3178	1105	T
3143	1151	T
1881	785	B
597	371	B
3197	908	B
1149	607	B
525	303	B
777	480	B
5233	1905	T
5894	1149	B
1711	791	B
3485	1175	B
2738	1054	B
2523	937	B
2831	924	B
6097	1288	B
1235	615	B
2789	1039	B
908	505	B
687	364	B
4252	1354	B
2860	1080	B
5924	1716	B
1273	704	B
3866	612	B
1388	652	T
1389	636	B
745	356	B
557	229	B
2154	823	B
1418	674	B
1030	404	B
4245	1030	B
5440	1493	B
1120	489	B
1258	177	B
897	480	B
8152	2180	B
4346	1308	T
5906	1869	B
3703	1043	B
1543	613	B
1150	686	B
4343	1206	B
575	346	B
1735	810	B
4355	1360	B
7378	1733	B
1153	467	B
2789	801	B
1028	547	B
2596	882	B
3371	1107	T
1078	647	B
1727	308	B
2430	911	B
4170	1226	B
1489	718	T
631	308	B
1688	706	T
