nUMIs	nGenes	cell_type
4756	1406	T
4028	1087	B
3562	1036	B
3525	1047	B
7392	1910	B
1133	645	B
3065	1121	T
2907	1171	B
4913	1494	B
6880	1893	T
3495	1213	B
781	360	B
8115	2144	B
2604	976	B
4932	1843	T
504	297	B
4103	1290	B
2905	1005	T
2683	727	B
30646	5203	T
5965	1728	T
3394	1097	B
6917	1922	T
1182	803	B
3015	884	B
1192	573	T
7463	1857	B
4748	1408	B
6574	1729	B
775	407	B
2743	1022	T
1614	553	B
4620	1124	B
5184	1558	B
3411	1325	B
2193	1023	B
4176	1306	B
2705	936	B
6058	1960	T
1205	630	B
8436	1839	B
9713	2056	T
1055	689	B
3646	1250	T
3216	853	B
2133	777	B
4105	1077	B
2761	1141	T
3178	939	B
522	237	B
1624	747	B
1716	578	B
1996	704	B
3535	983	B
5749	1733	B
2043	839	B
2570	943	B
4656	1475	B
6454	1542	B
696	465	B
2827	902	T
2396	912	T
1002	373	B
3442	934	B
3868	1300	B
860	459	B
3693	943	B
2953	1030	T
3923	1092	B
1349	684	B
2760	905	B
3936	1022	T
682	410	B
7200	2026	T
6588	1807	B
2409	738	B
1233	712	B
870	498	T
3502	1166	T
617	285	B
2636	943	B
4558	1537	B
2645	499	B
4698	1442	B
3617	1243	B
1804	786	B
3817	1230	B
1153	727	T
1304	612	B
8155	2051	B
3038	871	B
2769	1180	B
1556	668	B
5188	1333	B
4691	1395	T
1148	686	T
3637	1245	B
1722	543	B
12325	2821	T
3656	1007	B
2504	838	B
3508	1194	B
4581	1426	T
2807	798	B
3625	1199	B
2222	996	B
3783	1321	B
3034	944	B
6502	1842	B
4476	1491	B
605	454	B
2964	1184	T
598	344	B
3063	921	B
2847	859	B
4889	1239	B
980	630	B
2144	705	B
4530	1101	B
2897	1136	B
2502	916	B
2554	983	B
2522	770	B
4017	1123	B
3263	881	B
4374	1496	T
11179	2630	B
682	403	T
3393	938	B
4487	1043	B
2487	962	B
16536	3235	B
6076	1485	B
2146	726	B
3026	1079	B
3711	953	B
5126	1593	B
2036	845	B
2254	941	T
4928	1184	B
4029	1426	B
2183	652	B
1442	744	B
3593	1047	B
2441	747	B
7351	1994	B
3076	1087	B
2643	784	B
2450	1038	B
1118	639	T
3113	863	B
2664	742	B
1364	643	B
2316	841	B
4794	1481	B
3150	945	B
835	475	B
4273	1292	T
4408	1595	B
4019	1094	T
3299	993	T
4149	1414	B
5147	1822	B
5130	1638	B
1619	844	B
4144	1357	T
2110	738	T
1549	684	B
4944	1360	T
3095	1009	B
763	417	B
5857	1762	T
3049	1137	B
3096	1016	B
3127	892	B
1885	567	B
5929	1794	B
3203	997	B
4438	1447	B
6586	1857	T
2719	784	B
6127	1680	B
4373	1142	B
785	421	B
2398	957	B
4109	1342	B
2696	1117	B
915	519	B
4239	1404	B
3727	1133	B
2393	988	B
1125	462	B
6934	1841	B
2115	928	B
844	443	B
5266	1261	B
2144	1115	B
1811	871	B
1039	505	B
4003	1162	B
3555	1076	B
2747	1081	B
2491	1030	B
4302	1204	B
2458	990	T
1161	587	B
2552	940	B
1455	671	B
1588	557	B
2989	907	T
17260	3373	B
2862	757	B
4479	1207	T
5166	1048	B
5559	1695	T
1958	1030	B
543	350	B
6891	2041	T
611	361	B
2803	780	B
3714	1155	T
593	381	B
2391	885	B
2357	964	T
3789	1400	B
2414	813	B
839	562	B
5510	1563	B
1457	682	B
814	261	B
786	502	B
2384	862	B
2017	882	B
608	365	B
551	407	B
3475	1070	B
1726	797	B
5912	1659	B
1955	754	B
3108	1087	B
3051	780	B
747	462	B
4032	1105	B
10972	2477	B
2348	784	B
1642	689	B
2068	933	T
2034	812	T
3633	947	B
3138	1005	B
1102	426	B
1767	682	B
13211	3427	T
2103	689	B
3024	1154	B
2424	855	B
5347	1664	B
9921	2194	B
2390	965	T
4001	1147	B
4605	1854	B
2440	751	B
680	379	B
1781	667	B
1787	629	B
5660	1743	T
730	372	B
2564	872	T
4074	1352	B
3144	943	B
935	471	B
2801	796	B
4330	1268	B
1076	538	B
2742	1144	B
2119	1083	T
1754	633	B
3350	1044	B
5665	1676	T
2415	1051	T
4832	1562	B
1459	743	B
3943	1144	B
536	288	B
829	418	B
1335	534	B
1180	775	B
2259	1018	T
4674	1283	B
4250	1210	B
4167	1348	B
3676	1207	B
4119	1350	B
3433	1210	B
2155	816	B
4004	1315	T
736	436	B
3423	1204	B
4328	1061	T
6215	1987	B
1406	710	B
3012	979	B
3407	1035	B
1665	827	B
1858	690	B
3049	794	T
2097	851	B
3062	887	B
3264	862	B
2763	847	T
3538	670	B
3514	1049	B
7313	1981	B
1659	531	B
3145	984	B
5605	1624	B
3752	1220	B
4355	1090	B
2736	977	B
1462	902	B
2328	852	B
5379	1579	B
1461	647	B
4526	1681	B
5649	1358	T
4484	1476	B
4262	991	B
2785	885	T
10808	2452	T
685	462	B
1078	514	B
3462	922	B
2797	875	B
1205	439	T
1208	482	B
1585	658	B
725	501	B
3180	1048	B
3226	1178	B
6496	1661	B
10759	2679	T
1902	771	B
8853	2429	T
6162	1915	B
528	356	B
1396	574	B
1944	794	B
590	413	B
3292	877	B
3079	980	B
3624	942	B
2377	968	B
1465	627	T
553	409	B
2951	1180	B
543	391	B
1412	627	B
6937	2093	B
3077	955	T
721	416	B
965	337	B
3607	1122	B
2258	821	B
954	289	B
3178	947	T
560	349	B
643	370	B
2552	725	B
6254	1623	B
11440	2588	T
7356	2089	T
5629	1645	B
6533	1781	T
4009	1403	T
759	488	B
3294	1060	T
1228	645	B
3440	997	B
2844	1076	B
4113	1139	B
622	399	B
1992	732	T
6345	1831	B
5654	1627	B
1721	826	B
3894	1428	B
6089	1604	T
8127	2167	B
2411	1140	B
6287	1737	T
950	417	B
2063	709	B
2541	1093	B
3000	955	B
2404	759	T
4207	1502	T
3847	851	B
1226	680	B
3334	866	B
1995	924	B
1889	776	B
3268	981	T
1950	605	B
4213	1072	B
2085	730	B
2112	838	B
4014	1305	B
2534	1007	B
1919	692	B
6629	1801	B
1453	764	B
6203	1855	B
3376	976	B
1919	769	B
4858	1437	B
3197	935	B
2981	912	T
2382	791	B
1533	770	B
2037	870	B
3325	1046	B
785	459	B
4890	1257	B
3417	1269	T
2636	710	B
1987	785	B
1744	771	B
3146	912	B
6202	1781	B
3256	926	B
2828	897	B
2700	732	B
2815	1068	B
8429	1952	T
1726	763	B
8936	2169	T
2937	1096	B
3100	746	B
2622	765	B
3177	1142	B
3632	1332	B
2700	775	B
3093	1006	B
6193	1915	B
3959	1389	B
4213	1318	T
2917	1110	B
2227	935	B
1954	113	B
2698	895	B
2814	918	B
629	379	B
1896	725	B
3466	1450	B
2649	637	B
818	466	B
1893	759	B
3474	1022	T
1436	769	B
3604	1078	B
2276	784	B
4412	1405	B
869	508	B
634	325	B
827	436	B
1578	599	B
3594	1234	B
5082	1566	T
8715	2009	B
5473	1574	B
2252	814	B
927	504	T
6307	1868	T
814	495	B
1998	889	B
3544	964	T
526	303	B
4441	1376	B
3167	890	B
4296	1217	B
1260	721	B
2814	842	B
9343	2363	T
1978	1094	B
2019	683	B
2299	845	B
1116	540	B
4574	1162	B
872	433	B
2906	1269	B
6121	1809	B
2586	948	B
3296	1205	B
4233	992	B
3453	1201	T
2371	1020	B
3294	945	B
2880	876	B
2458	662	B
3007	1208	B
1564	533	B
2498	1002	B
3162	1029	B
5049	1742	B
2844	1040	B
5343	1828	B
662	423	B
7971	1895	T
4407	1402	T
1601	783	B
707	449	T
2933	989	T
2975	904	B
721	435	B
3198	1215	B
7081	1834	B
10589	2410	T
3941	1262	T
4430	1657	B
9276	2390	T
715	418	B
3294	898	B
2437	765	T
3441	1319	T
2123	731	T
1987	864	B
3262	1141	B
1848	595	B
3835	1419	B
1951	929	B
578	343	B
4230	1325	B
7413	1857	B
1964	937	B
2250	799	T
2517	813	B
3321	1206	B
1293	619	B
2242	731	B
5579	1797	T
2317	916	B
3150	878	T
3232	941	B
2072	834	B
2741	741	B
2128	860	B
5547	1625	T
1701	697	B
2532	894	B
9540	2720	T
2522	698	B
672	394	B
3825	1060	B
3643	1152	B
2872	894	B
1635	830	B
4181	1194	B
1925	627	B
1345	456	B
3658	1279	B
2131	585	B
2863	1005	B
3791	1378	B
838	484	B
3728	1279	B
689	508	B
4411	1409	B
2575	821	T
5662	1711	T
501	323	B
3586	883	B
5145	1109	B
562	236	B
1494	792	B
5601	1850	B
1905	661	B
11750	2505	B
6835	920	B
3145	847	T
4334	1374	T
1344	588	B
3691	1291	B
4021	1414	T
1979	858	B
2913	760	B
3638	1245	B
2812	1066	B
2236	147	B
4025	1301	B
4649	1208	B
4262	1510	B
1504	640	B
1693	762	B
1905	863	B
1996	872	T
3708	1171	B
3728	1003	B
6285	1851	T
647	398	B
677	367	B
879	97	B
3116	967	B
2313	1009	B
7636	2042	B
2465	1031	T
3262	1009	B
3311	1207	B
5361	1730	T
4442	1171	B
5443	1708	B
3014	933	B
2888	969	T
1732	671	B
2209	740	B
3800	1297	B
5811	1280	B
4240	1284	T
2068	766	B
2876	994	B
3112	1157	B
2089	868	B
2204	933	B
2154	834	B
4224	1203	B
2305	787	B
2481	780	B
3260	943	T
2667	737	B
724	456	B
2543	717	B
1072	544	B
2144	776	B
3099	1312	B
1031	622	T
3110	1003	B
1121	568	B
844	494	T
2631	922	T
7098	1487	B
4254	1222	B
1733	851	B
4817	1527	T
894	567	B
2347	949	T
4355	1426	B
6075	1634	T
4298	1088	T
4819	1356	T
3887	1134	T
3253	811	B
2217	862	T
1128	580	B
3692	1177	T
2300	901	B
2714	806	B
3032	1157	T
3321	1224	B
2415	719	T
4568	1574	T
1619	728	T
8803	2803	T
1637	808	B
2877	1022	B
6228	1759	B
2519	1157	B
3535	1034	T
4062	991	B
2397	1017	B
4044	1384	B
4082	1094	T
4540	1581	B
2027	703	B
3523	1439	B
3054	1174	B
3771	1092	B
1191	563	B
2620	1013	B
542	287	B
4131	1011	B
2790	1343	B
3555	1123	B
2013	671	B
4397	1237	T
1219	699	B
3620	1074	B
2524	961	B
3231	1424	B
2421	1025	B
4093	1433	B
1089	607	B
2163	945	B
502	332	B
7781	2276	T
1684	689	T
543	370	B
499	338	B
1592	708	B
2927	965	B
3916	1440	B
2591	1017	B
3535	1176	B
3292	1215	B
5328	1664	B
4211	1415	B
564	366	B
4709	1305	B
3465	1183	T
2727	1027	T
963	590	B
2044	697	B
4428	1201	T
3300	984	T
2105	800	B
3836	1100	B
3343	1110	B
1261	610	B
1120	558	B
2972	1125	B
3193	703	T
5932	1730	B
3113	605	T
2758	957	B
3034	1125	B
814	532	B
6789	1748	T
2311	986	T
3783	1467	B
4752	1478	T
2955	1129	B
550	211	B
4076	1267	B
4068	1258	B
4232	1438	T
666	295	B
2646	1070	B
2231	870	B
6020	1791	B
5646	1761	B
3892	1220	T
2096	887	B
2394	1013	B
1483	583	T
2679	938	T
773	471	B
1624	775	B
1777	677	T
915	571	B
3425	1255	B
5797	1583	B
2365	690	T
4293	1456	B
3535	1015	B
2037	929	B
4415	1084	B
2602	845	B
1095	624	B
963	563	T
2972	961	T
3604	1059	B
3905	822	T
4902	1533	B
2348	940	B
2279	754	B
2305	941	B
3616	1242	B
1384	549	B
3957	1141	B
4345	1165	B
2198	984	B
3864	1342	B
1948	1022	B
3797	1044	T
3136	1222	T
2063	810	B
7225	1901	B
660	372	B
1832	637	T
2796	799	B
2748	893	T
6430	1756	T
2342	976	B
1368	630	B
4336	1216	B
1178	630	B
2577	772	B
1992	913	B
4642	1292	B
5683	1679	T
5205	1506	B
4289	1482	B
4462	1241	T
618	299	B
2405	1023	B
3924	1138	T
4080	1008	B
2836	751	T
5396	825	B
2383	991	B
4877	1455	T
3870	1523	B
3569	994	T
1742	658	B
512	322	B
3035	892	T
1695	704	B
3036	952	T
902	542	T
