nUMIs	nGenes	cell_type
4015	1204	B
2551	996	B
2564	1116	B
9964	2559	T
3774	1211	B
6313	1822	T
3349	807	B
4938	1602	B
2983	960	B
1792	667	B
1793	647	B
1650	742	B
2903	853	B
2918	741	T
1557	692	B
2114	657	B
2723	1179	B
2686	852	T
2034	847	B
5637	1658	B
2428	854	B
1370	722	B
3276	958	B
3369	1344	T
2632	790	B
2080	887	B
1764	755	B
2704	811	B
3080	172	B
2997	807	B
3295	1031	B
3548	856	B
4652	1342	B
3493	1105	B
794	409	B
6139	1833	B
3156	828	B
3857	1187	B
607	390	B
7144	1922	T
1310	640	B
1687	597	B
8463	2162	T
2537	1205	B
5115	1764	B
2045	847	B
7282	2123	B
5641	1656	T
6087	1791	B
694	414	B
858	430	B
4465	1676	B
2887	990	B
2665	1039	B
2052	1032	B
4887	1356	T
4141	1213	B
2669	1157	B
10330	2729	T
7753	1970	T
2070	850	B
2408	790	B
1217	708	B
1491	403	B
2955	1095	B
586	352	B
3796	1271	B
2829	838	B
3089	808	B
2586	727	B
6822	1863	B
6707	1933	B
3211	1185	T
3764	1064	B
3217	909	B
2659	1097	B
1826	791	B
2508	881	T
4108	1342	B
4318	1198	T
3149	1173	B
3439	874	B
1882	641	B
1702	760	B
593	365	B
3207	992	B
2371	768	B
2478	821	B
1248	670	B
5478	1512	B
2737	957	B
2100	950	B
3927	1396	B
4205	923	B
3337	1259	B
2826	830	T
1442	639	B
778	408	B
2294	733	B
8497	2099	T
8347	2382	T
2558	710	B
5830	1664	B
4769	1520	T
3796	990	B
2344	648	B
512	328	B
676	289	B
3895	1107	B
2982	944	T
1583	695	B
678	434	B
2743	1070	T
885	452	B
3147	1189	T
2491	863	B
2527	818	B
13236	2415	B
4079	1345	B
2893	1203	B
3323	1225	T
1629	563	T
4105	1355	B
8840	2000	B
5852	1860	B
3064	793	B
3581	1021	T
3674	974	T
533	359	B
1784	710	B
2986	979	B
4477	1548	B
2999	1171	B
2825	976	T
5448	1593	B
3120	824	B
1945	907	B
5224	1668	B
730	502	B
2016	712	B
1485	687	B
4649	1519	B
2648	870	B
2941	1014	B
2319	873	B
3799	1231	B
3233	1363	T
550	289	B
3042	1119	B
6793	2062	B
2533	831	B
2943	860	T
641	366	B
1517	834	B
2839	786	T
1085	324	B
2633	899	T
1895	840	B
7266	1739	B
2462	844	B
979	502	B
887	554	B
2159	926	B
3094	939	B
2027	619	B
949	539	B
2093	768	B
3143	976	B
4420	1266	T
3404	1230	B
2112	942	B
1564	643	B
2972	802	B
3147	826	B
4751	1540	B
1099	656	B
3619	1249	B
912	498	T
1574	592	T
3929	1389	B
1840	949	B
1096	524	B
2818	800	B
2062	937	B
727	395	B
1207	619	B
5090	1252	T
1938	695	B
2729	901	B
6927	1934	B
1020	680	B
758	432	B
2558	813	B
981	530	B
2612	932	B
2138	722	B
6525	1849	T
5249	1528	B
1914	954	B
2025	902	B
553	179	B
1701	692	B
2445	761	B
923	532	B
3075	1159	B
738	396	B
4384	1409	B
3602	987	T
1848	580	T
911	514	B
1924	668	B
5578	1548	T
3843	1181	B
6372	1857	T
1639	732	B
2122	817	B
5736	1749	B
1433	655	B
1014	479	B
4286	1377	B
502	294	B
2756	868	B
1776	616	B
2219	778	B
1331	693	T
6592	1820	B
3709	1076	B
4714	1601	T
804	417	T
1950	787	B
9074	2335	B
3189	836	B
3461	964	B
871	588	B
769	490	B
740	396	B
9238	2161	T
3835	1340	B
1899	783	B
11661	2874	B
690	364	B
4032	1234	B
2962	1287	T
4184	1193	B
4280	1420	T
4410	1558	B
2164	887	B
3359	1032	B
742	379	B
3914	1043	B
1823	787	B
1102	656	T
1232	497	T
12858	2975	B
3076	1032	B
5103	1528	B
2515	991	T
2381	960	B
3300	1143	B
7457	2125	B
4005	982	B
1203	622	B
7108	1897	T
1754	712	B
1726	832	B
846	556	B
875	553	B
1752	765	B
1334	549	B
2571	866	B
2209	738	B
2463	970	B
918	602	B
2781	985	B
6554	1477	B
3292	880	B
5800	1740	T
2589	749	B
501	92	B
4000	986	T
2267	903	B
759	483	B
4525	1115	T
3202	944	B
2168	833	B
1365	533	B
510	351	B
15776	2983	T
4445	1369	T
769	466	B
3166	939	B
2389	776	B
7584	2083	B
4642	1451	B
4443	1308	T
2763	780	B
2408	973	B
4180	1236	B
3692	1193	B
672	434	T
1853	799	T
2908	1065	B
1879	846	B
2474	1044	B
2563	1048	B
2038	702	B
2072	914	T
3636	1001	B
